Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,weighted_pollution,pm_fine_ratio,population_exposure
17.4,56.5,2.6,6.9,21.0,3.5,0.92,11.6,475,Good,7.66,0.37681159420289856,16587.0
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,Good,8.19,0.3827160493827161,10341.240000000002
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,Good,6.870000000000001,0.21153846153846154,18125.160000000003
22.4,69.3,2.2,8.4,19.6,3.0,0.92,10.2,339,Good,7.62,0.2619047619047619,11566.680000000002
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,Moderate,59.019999999999996,0.8337264150943396,110174.03
42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,861,Hazardous,26.749999999999996,0.34277620396600567,104930.06999999999
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,Good,7.3,0.2772277227722772,7438.72
32.6,65.1,4.1,19.3,28.0,14.5,1.45,6.3,509,Moderate,14.48,0.21243523316062174,34281.15
46.1,100.3,144.0,169.8,42.5,16.1,2.3,7.3,443,Hazardous,118.65,0.8480565371024734,165992.1
33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,600,Hazardous,35.87,0.4141592920353982,85950.0
48.1,94.1,4.2,19.0,23.7,6.0,1.57,6.0,625,Poor,12.72,0.2210526315789474,34043.75
31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,663,Moderate,24.389999999999997,0.7955390334572491,64370.66999999999
29.0,83.5,31.5,44.4,27.0,-2.8,1.49,5.7,538,Moderate,31.04,0.7094594594594594,54655.42
24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458,Moderate,21.490000000000002,0.6989247311827957,35055.32
27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,588,Poor,24.58,0.5953177257525084,56941.91999999999
20.8,48.5,16.0,19.7,11.2,2.5,1.17,10.2,432,Good,14.799999999999999,0.8121827411167513,21846.24
28.2,71.7,75.2,90.0,30.8,5.0,1.81,4.8,765,Poor,63.739999999999995,0.8355555555555556,155149.65
32.0,69.7,95.7,110.4,36.1,20.5,2.3,6.8,673,Poor,80.67,0.8668478260869565,178345.00000000003
21.5,60.0,14.6,20.6,20.9,1.6,0.94,10.7,587,Good,16.36,0.7087378640776698,34421.68
29.6,63.1,12.8,15.9,22.0,3.8,1.16,11.0,377,Good,14.670000000000002,0.8050314465408805,20983.82
17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,Good,8.040000000000001,0.37499999999999994,8144.01
33.2,49.8,1.4,23.3,23.0,25.8,2.06,6.8,730,Poor,14.73,0.06008583690987124,55158.8
58.6,66.0,44.0,54.0,44.3,22.7,3.09,5.2,641,Hazardous,44.93,0.8148148148148148,107745.69
28.1,51.8,36.0,40.3,26.4,5.4,1.15,10.8,264,Good,32.31,0.8933002481389579,28842.0
32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,Moderate,37.68,0.9516483516483516,76854.95999999999
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,Good,10.580000000000002,0.8611111111111112,20295.8
25.7,69.3,15.7,25.0,27.7,10.6,1.44,9.5,482,Moderate,20.38,0.628,38772.08
35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,724,Hazardous,22.07,0.2607260726072607,74695.08
26.7,63.2,6.8,9.3,13.4,4.9,0.98,10.0,358,Good,8.68,0.7311827956989246,12666.039999999999
20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,Good,9.27,0.5,22361.350000000002
24.6,84.2,5.2,19.2,22.5,9.0,1.48,7.3,623,Moderate,13.24,0.27083333333333337,35747.74
25.9,62.8,25.8,35.6,31.2,19.0,1.48,5.3,411,Moderate,29.14,0.7247191011235955,46475.880000000005
22.1,54.0,10.6,15.4,13.9,8.9,1.0,10.5,265,Good,12.530000000000001,0.6883116883116883,13197.0
34.1,97.9,54.0,76.8,31.6,16.4,2.15,6.6,513,Poor,52.6,0.703125,92827.35
24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,390,Good,10.479999999999999,0.4388489208633093,16645.2
28.0,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,Good,17.23,0.5849056603773585,30817.329999999998
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,Good,5.960000000000001,0.45312499999999994,14902.68
30.4,101.1,28.6,42.6,39.9,4.0,2.2,6.8,639,Poor,32.6,0.6713615023474179,74954.7
41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,Hazardous,39.03999999999999,0.6496212121212122,101711.47
25.5,73.4,13.8,21.4,25.7,3.8,0.95,11.0,194,Good,17.459999999999997,0.6448598130841122,12736.1
28.2,49.6,17.0,21.7,19.7,11.3,0.99,11.1,214,Good,18.38,0.783410138248848,15127.66
36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,543,Poor,32.63,0.7796610169491527,63503.85
18.8,77.7,11.0,15.8,20.0,5.6,1.09,11.2,409,Good,13.700000000000001,0.6962025316455696,21877.41
26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,Good,21.48,0.7830508474576272,28855.680000000004
34.9,96.9,11.4,30.2,36.5,20.3,1.89,6.8,680,Poor,22.950000000000003,0.3774834437086093,68197.2
23.0,50.7,1.1,5.0,24.8,2.1,1.12,12.4,593,Good,7.11,0.22000000000000003,20233.16
22.3,78.8,19.3,26.0,26.1,5.5,0.82,10.7,214,Good,21.290000000000003,0.7423076923076923,16632.079999999998
21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,Good,7.89,0.34328358208955223,12266.020000000002
44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,643,Poor,18.620000000000005,0.2332155477031802,55426.59999999999
22.4,73.0,12.2,15.0,26.6,3.6,0.97,12.9,266,Good,15.059999999999999,0.8133333333333332,15526.420000000002
32.3,82.0,8.8,18.7,29.8,14.7,2.03,5.7,600,Poor,16.56,0.4705882352941177,44418.0
33.5,70.8,8.1,16.3,22.0,15.9,1.63,5.1,527,Moderate,14.12,0.4969325153374233,33691.11
33.1,52.0,7.2,15.9,38.9,12.1,1.46,7.3,452,Moderate,16.64,0.4528301886792453,34153.119999999995
25.5,48.0,15.5,19.9,18.6,7.7,1.04,10.3,503,Good,16.66,0.7788944723618091,31558.22
29.9,77.8,1.5,23.4,43.8,20.0,1.89,6.0,681,Poor,18.38,0.06410256410256411,61691.78999999999
29.3,67.5,1.9,5.0,12.1,4.5,1.12,11.0,576,Good,5.13,0.38,14181.12
23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,Moderate,23.519999999999996,0.9087719298245613,45212.9
23.7,40.0,20.7,23.0,20.4,6.2,1.05,12.5,318,Good,19.88,0.9,22689.300000000003
21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,Good,8.09,0.5192307692307693,7053.76
44.9,105.8,24.5,47.4,39.9,26.7,2.36,4.0,878,Hazardous,34.67,0.5168776371308017,123675.08000000002
27.0,45.5,6.2,13.0,24.3,5.0,1.01,10.7,205,Good,11.740000000000002,0.47692307692307695,10149.55
49.6,87.5,81.9,87.0,40.4,18.4,2.14,2.9,631,Hazardous,68.78,0.9413793103448277,145029.04
33.4,78.5,101.6,109.9,19.3,9.2,1.32,5.0,334,Moderate,78.39,0.9244767970882619,80600.88
23.5,51.6,0.0,8.3,23.5,7.4,0.92,19.7,450,Good,7.930000000000001,0.0,18054.000000000004
22.2,75.7,19.0,20.7,20.1,5.3,1.03,10.7,316,Good,18.360000000000003,0.9178743961352658,20897.079999999998
35.4,51.9,48.4,53.0,21.0,10.4,1.53,6.6,628,Moderate,40.5,0.9132075471698113,84359.24
41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,Poor,11.520000000000001,0.22077922077922077,38207.840000000004
21.0,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,Good,8.209999999999999,0.5168539325842696,13732.74
31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,Moderate,24.88,0.6612377850162867,49541.12
46.8,91.6,240.1,261.5,40.3,37.6,2.46,3.1,879,Hazardous,186.31,0.9181644359464627,511542.84
23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,Good,15.929999999999998,0.8461538461538463,25552.309999999998
24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,Good,6.49,0.0625,6924.64
24.1,59.3,14.4,33.1,31.0,16.7,2.0,5.3,622,Poor,23.560000000000002,0.4350453172205438,60458.4
41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,Hazardous,64.73,0.8195991091314031,133076.8
22.5,73.0,0.2,6.2,15.0,5.5,0.95,14.2,543,Good,5.489999999999999,0.03225806451612903,15122.55
26.7,57.9,50.0,59.6,26.3,9.4,1.68,6.3,541,Moderate,44.07999999999999,0.8389261744966443,79516.18000000001
24.6,51.3,3.9,8.0,21.7,5.9,0.98,12.8,454,Good,8.89,0.4875,18377.92
32.0,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,Moderate,12.26,0.743362831858407,19825.800000000003
29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,Poor,32.05,0.6283783783783784,72300.68000000001
32.5,68.3,33.2,40.1,29.0,9.5,1.52,6.5,410,Moderate,32.06,0.8279301745635911,46461.200000000004
33.0,56.8,1.9,5.0,36.1,7.6,1.75,7.5,481,Moderate,10.24,0.38,25180.350000000002
30.1,86.8,7.3,22.4,27.9,6.0,1.29,6.0,690,Moderate,15.82,0.32589285714285715,44774.1
22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,Good,7.16,0.14893617021276595,10863.029999999999
27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,Moderate,22.48,0.6217105263157895,29411.249999999996
28.3,40.6,2.3,6.9,25.3,4.0,0.88,12.5,590,Good,8.450000000000001,0.3333333333333333,23234.2
30.8,68.9,2.0,11.5,23.6,13.0,1.46,7.1,638,Moderate,10.270000000000001,0.17391304347826086,32895.28
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,Moderate,13.21,0.05365853658536586,27447.370000000003
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,Moderate,8.77,0.2142857142857143,13677.199999999999
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10.0,435,Good,13.180000000000001,0.47852760736196315,23955.45
29.6,78.9,9.3,19.0,31.3,11.2,1.74,6.8,714,Moderate,16.800000000000004,0.48947368421052634,51793.56
28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,Moderate,24.919999999999998,0.5603217158176944,40734.72
33.4,85.5,11.7,31.7,41.7,12.4,2.03,3.0,927,Hazardous,23.770000000000003,0.36908517350157727,92264.31
22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,Good,6.4399999999999995,0.5068493150684932,6499.320000000001
23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,598,Moderate,18.900000000000002,0.525691699604743,45986.2
36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599,Moderate,32.809999999999995,0.8041002277904328,69112.62
27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334,Good,21.7,0.7837837837837839,26322.54
32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,406,Moderate,10.670000000000002,0.125,20121.36
21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384,Good,7.710000000000001,0.2,14319.36
31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,Moderate,12.61,0.2457142857142857,25289.190000000002
27.4,63.0,11.0,21.1,23.2,9.6,1.27,6.6,333,Moderate,16.330000000000002,0.5213270142180094,22034.61
24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,239,Good,5.8,0.1527777777777778,7093.5199999999995
47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,648,Hazardous,91.27000000000001,0.8233908948194663,195248.88
40.0,88.7,29.3,46.0,45.1,20.7,2.03,3.2,821,Hazardous,36.61,0.6369565217391304,117509.73
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,Good,23.12,0.7894736842105264,27881.039999999997
20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370,Good,9.45,0.4390243902439025,16675.899999999998
42.6,94.6,17.9,30.1,44.3,4.0,1.91,2.6,525,Hazardous,25.449999999999996,0.5946843853820597,51560.25
33.7,72.7,139.4,159.9,33.1,22.8,2.28,5.6,576,Poor,112.63000000000001,0.8717948717948718,205908.48
29.0,64.0,8.6,21.6,26.6,8.1,1.53,5.0,647,Moderate,16.05,0.3981481481481481,42980.21000000001
30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,Moderate,15.16,0.27403846153846156,29833.990000000005
37.3,90.7,33.6,43.8,35.6,19.6,2.45,3.1,754,Hazardous,35.660000000000004,0.767123287671233,101827.69999999998
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6.0,417,Moderate,13.239999999999998,0.493421052631579,23723.13
33.7,89.4,30.0,47.3,26.5,8.1,1.41,6.0,613,Moderate,32.3,0.6342494714587739,69459.03
23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437,Good,21.810000000000002,0.8220640569395018,33801.950000000004
28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562,Moderate,16.6,0.4365482233502538,40076.219999999994
33.5,97.1,10.5,24.1,26.8,16.5,2.13,5.1,686,Poor,18.439999999999998,0.4356846473029045,54900.58
25.2,42.6,10.5,18.0,24.7,7.0,0.89,10.8,517,Good,15.239999999999998,0.5833333333333334,31583.530000000002
30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609,Moderate,22.8,0.8339920948616601,51844.17
35.6,74.6,64.2,76.2,43.9,17.4,2.61,3.5,679,Poor,59.06000000000001,0.8425196850393701,138726.49000000002
32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,489,Moderate,49.28,0.7840755735492578,77022.38999999998
35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,Moderate,40.68,0.7912885662431942,92661.20000000001
37.3,98.6,68.4,85.3,37.5,16.9,2.34,9.0,695,Poor,62.14,0.8018757327080892,146255.8
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451,Moderate,17.5,0.7708333333333334,29035.380000000005
15.4,64.2,5.5,10.5,15.4,4.1,1.0,12.7,549,Good,8.84,0.5238095238095238,20038.5
31.0,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,Moderate,24.91,0.8125000000000001,67335.72000000002
29.5,83.3,4.7,22.7,35.9,14.7,2.97,5.2,631,Poor,17.34,0.20704845814977976,51092.07
21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,Good,25.880000000000003,0.8753993610223642,30994.399999999998
30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399,Moderate,14.75,0.21383647798742136,28317.03
28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,Good,7.49,0.673076923076923,16579.6
31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,Good,7.61,0.18666666666666665,8381.01
22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,818,Poor,33.65,0.6573426573426574,102421.78
25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612,Moderate,22.990000000000002,0.7303754266211604,51940.44
36.2,87.2,2.4,17.5,50.9,31.5,3.04,5.1,937,Hazardous,19.54,0.13714285714285715,98703.58
31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549,Poor,16.740000000000002,0.5384615384615384,43563.149999999994
34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685,Hazardous,37.669999999999995,0.5612648221343873,108284.8
23.2,57.5,17.8,26.2,11.0,2.9,1.19,10.4,500,Good,17.47,0.6793893129770993,29544.999999999996
30.5,89.7,117.0,138.7,40.6,33.9,2.22,6.4,574,Hazardous,99.92,0.843547224224946,190809.08000000002
24.0,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728,Moderate,13.91,0.4907407407407407,49474.88
32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493,Poor,40.779999999999994,0.7189781021897811,70252.5
14.1,54.5,3.6,8.3,17.4,7.0,0.99,10.1,238,Good,8.11,0.4337349397590361,8875.02
27.6,52.0,48.9,53.6,28.7,5.1,1.65,5.6,364,Moderate,41.89,0.9123134328358209,50213.799999999996
21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,Good,9.6,0.47368421052631576,16453.279999999995
31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,488,Poor,36.76,0.6325757575757576,65914.16
28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,Moderate,23.490000000000002,0.49710982658959535,35494.2
31.1,56.4,10.7,17.0,12.9,5.1,1.07,10.0,572,Good,12.469999999999999,0.6294117647058823,26752.44
28.0,55.4,3.0,15.1,22.8,21.8,1.76,5.1,405,Moderate,12.469999999999999,0.19867549668874174,26106.300000000003
38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806,Poor,19.65,0.2754237288135593,72265.95999999999
41.5,91.3,79.5,93.5,30.0,12.8,1.99,10.4,561,Poor,67.13,0.8502673796791443,122180.19000000002
33.1,99.2,17.6,47.1,41.1,26.4,2.45,6.8,623,Hazardous,32.03,0.3736730360934183,83886.94999999998
28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544,Moderate,41.16,0.8330241187384044,76861.76
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,Moderate,24.27,0.6666666666666666,66073.56
32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,Moderate,40.69,0.8709677419354838,70696.53
24.5,65.2,8.3,14.3,15.0,5.4,1.0,11.2,368,Good,11.149999999999999,0.5804195804195804,16192.0
29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629,Moderate,24.18,0.606811145510836,56962.23999999999
36.2,84.9,42.2,72.0,30.9,23.4,1.98,3.5,619,Hazardous,47.0,0.5861111111111111,105527.12
27.0,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490,Moderate,20.89,0.5761589403973509,38651.2
26.2,47.6,16.4,20.2,24.0,9.9,0.85,11.5,506,Good,18.41,0.8118811881188118,36103.1
24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585,Moderate,24.07,0.7034700315457414,52538.85
28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600,Good,13.580000000000002,0.6874999999999999,30684.000000000004
24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354,Good,12.16,0.7171052631578948,16149.48
38.3,99.0,8.2,27.2,24.9,13.9,2.69,3.8,808,Poor,17.810000000000002,0.3014705882352941,62127.11999999999
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386,Good,8.370000000000001,0.14563106796116504,13868.98
22.8,65.1,3.1,10.6,11.1,4.9,0.88,12.0,500,Good,7.130000000000001,0.29245283018867924,15290.000000000002
32.5,75.1,24.9,36.0,25.8,6.3,1.69,6.4,516,Moderate,26.549999999999997,0.6916666666666667,48860.04
25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.7,231,Good,11.020000000000001,0.5309734513274336,10325.699999999999
32.9,49.6,24.0,28.5,22.0,8.8,1.64,5.3,518,Moderate,23.429999999999996,0.8421052631578947,43998.92
28.0,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631,Moderate,27.81,0.9618055555555555,66034.15
26.1,48.5,5.3,10.5,18.4,5.0,0.99,10.4,547,Good,9.45,0.5047619047619047,21983.930000000004
28.0,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662,Poor,40.65,0.6082474226804123,95831.12
37.8,79.1,63.0,85.1,52.6,20.1,2.6,6.5,778,Hazardous,63.260000000000005,0.7403055229142186,173805.19999999998
31.6,102.7,80.5,96.9,35.0,1.7,2.0,4.4,630,Poor,68.44000000000001,0.8307533539731682,136143.0
30.4,63.8,12.2,22.1,31.3,15.5,1.7,5.0,389,Moderate,19.32,0.5520361990950226,32209.199999999997
25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379,Good,8.56,0.40909090909090906,14837.85
36.6,78.5,6.0,25.9,45.5,17.8,1.58,4.0,470,Poor,21.05,0.23166023166023167,45486.6
29.8,60.2,10.7,19.8,24.9,12.4,2.0,6.4,472,Moderate,16.44,0.5404040404040403,32945.6
33.7,96.3,70.8,87.3,32.9,17.0,2.33,4.8,557,Hazardous,62.79,0.8109965635738832,117153.81000000001
26.2,62.0,79.2,86.0,31.4,7.6,1.46,5.9,615,Moderate,64.52000000000001,0.9209302325581395,126480.9
27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,Good,6.8,0.0,18743.920000000002
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470,Good,6.27,0.3055555555555556,15021.2
23.7,51.7,19.1,22.2,24.0,7.0,1.07,10.6,371,Good,19.8,0.8603603603603605,27220.269999999997
43.1,75.5,6.4,14.2,38.8,11.0,2.24,9.0,644,Poor,15.68,0.45070422535211274,46780.16
29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,Moderate,14.4,0.654054054054054,27725.460000000003
28.4,48.0,11.1,17.7,15.1,7.6,1.06,16.4,334,Good,13.53,0.6271186440677966,17555.04
34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450,Moderate,18.65,0.41666666666666663,35545.50000000001
20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430,Good,14.8,0.7005988023952096,24144.499999999996
30.9,92.2,10.7,19.0,38.1,9.6,2.55,4.8,429,Poor,18.560000000000002,0.5631578947368421,34298.55
23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362,Good,10.649999999999999,0.7968749999999999,14490.86
28.8,76.6,124.1,135.5,32.0,10.0,2.02,5.0,566,Poor,97.69,0.9158671586715866,171848.92
36.4,80.3,103.0,106.4,26.5,22.3,2.38,3.7,844,Hazardous,80.65,0.9680451127819548,219929.52000000005
29.8,75.8,1.1,19.5,29.7,4.0,1.78,6.3,402,Moderate,12.63,0.05641025641025642,22544.16
24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,Good,10.790000000000001,0.7706422018348624,22196.02
32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,Moderate,13.25,0.27941176470588236,47205.34000000001
